Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
409,28633,species,American Robin,Turdus migratorius,3,Medpace,US-OH,22 Mar 2019,L8966142,S54102866,,1
410,28114,species,Northern Mockingbird,Mimus polyglottos,1,Medpace,US-OH,22 Mar 2019,L8966142,S54102866,,1
411,342,species,Canada Goose,Branta canadensis,2,Medpace,US-OH,22 Mar 2019,L8966142,S54102866,,1
5,6062,slash,Short-billed/Long-billed Dowitcher,Limnodromus griseus/scolopaceus,8,Bombay Hook National Wildlife Refuge,US-DE,23 Nov 2025,L126637,S285852118,,0
19,4106,slash,Common/Pallid Swift,Apus apus/pallidus,50,Sevilla--Catedral,ES-AN,29 Jun 2025,L5704353,S255399294,,0
41,8279,slash,Sharp-shinned/Cooper's Hawk,Accipiter striatus/Astur cooperii,1,Mt. Bradford Preserve,US-PA,28 Nov 2024,L10804318,S204097548,,0
65,33899,spuh,grackle sp.,Quiscalus sp.,2,Naples Pier,US-FL,09 Feb 2023,L760418,S127927115,,0
120,5214,spuh,hummingbird sp.,Trochilidae sp.,1,Birabent Canyon,US-CA,29 May 2021,L2771988,S89203778,,0
145,24305,spuh,swallow sp.,Hirundinidae sp.,25,Otto Armleder Memorial Park,US-OH,05 May 2021,L298164,S87163254,,0
162,19306,spuh,vireo sp.,Vireo sp.,1,Audubon Corkscrew Swamp Sanctuary,US-FL,09 Jan 2021,L127407,S78929437,,0
175,21620,spuh,crow sp.,Corvus sp. (crow sp.),7,Sandbridge Beach,US-VA,31 Jul 2020,L1405901,S71973831,,0
184,7783,spuh,white egret sp.,Egretta/Ardea sp.,5,**Back Bay NWR,US-VA,26 Jul 2020,L718307,S71830971,,0
185,6803,spuh,tern sp.,Sterninae sp.,1,**Back Bay NWR,US-VA,26 Jul 2020,L718307,S71830971,,0
193,16997,spuh,Empidonax sp.,Empidonax sp.,1,Clark Street Beach Bird Sanctuary,US-IL,21 May 2020,L3615041,S69409168,,0
212,8576,spuh,hawk sp.,Accipitridae sp. (hawk sp.),1,Glenwood Gardens,US-OH,19 Mar 2020,L324868,S65970123,,0
215,363,slash,Cackling/Canada Goose,Branta hutchinsii/canadensis,1,Northwestern University (Main Campus and Lakefill),US-IL,08 Mar 2020,L152692,S65580107,,0
264,28779,spuh,thrush sp.,Turdidae sp.,1,Northwestern University (Main Campus and Lakefill),US-IL,17 Oct 2019,L152692,S60685785,,0
269,34397,spuh,new world warbler sp.,Parulidae sp.,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,26 Sep 2019,L161180,S60124858,,0
281,654,spuh,teal sp.,Anatidae sp. (teal sp.),1,Northwestern University (Main Campus and Lakefill),US-IL,25 Sep 2019,L152692,S60101117,,0
307,33520,spuh,new world sparrow sp.,Passerellidae sp.,1,Stages Pond State Nature Preserve,US-OH,10 Aug 2019,L284356,S58876736,,0
309,6235,spuh,peep sp.,Calidris sp. (peep sp.),5,Battelle Darby Creek Metro Park--Darby Plains Wet Prairie Restoration,US-OH,09 Aug 2019,L1129017,S58850929,,0
337,27646,spuh,wren sp.,Troglodytidae sp.,1,Summit Park (formerly Blue Ash Airport),US-OH,14 Jun 2019,L1064897,S57365796,,0
354,792,spuh,duck sp.,Anatidae (duck sp.),3,Glenwood Gardens,US-OH,28 May 2019,L324868,S56831491,,0
371,6619,spuh,gull sp.,Larinae sp.,2,Olympic NP--Rialto Beach,US-WA,19 May 2019,L864689,S56518345,,0
